,Info,Race,Income,Age,Sex,Marital,Politics,Urban,Collgrad,Office_H,Office_B,Office_A,Discrimination,Affect_W,Affect_H,Affect_B,Affect_A,Work_W,Work_B,Work_H,Work_A,Ident_W,Ident_B,Ident_H,Ident_A,Ident_USA
1,-1,3,21,46,1,4,2,4,4,3,3,3,3,3,3,-1,-1,-1,-1,4,-1,-1,-1,4,-1,2
2,-1,4,13,37,2,1,5,3,3,3,3,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3
3,-1,1,17,40,2,1,3,3,2,2,2,2,5,4,-1,-1,-1,5,-1,-1,-1,5,-1,-1,-1,5
4,-1,4,7,41,1,1,2,2,3,5,5,5,5,-1,-1,-1,4,-1,-1,-1,5,-1,-1,-1,5,5
5,-1,5,22,72,1,3,3,4,5,4,4,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
6,-1,1,3,71,2,4,3,3,3,4,4,4,5,2,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,1
7,-1,1,4,37,2,1,2,2,3,2,2,2,3,1,-1,-1,-1,1,-1,-1,-1,3,-1,-1,-1,1
8,-1,1,3,45,2,1,2,2,2,5,5,5,5,4,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1
9,-1,1,10,70,2,1,3,2,2,5,5,5,5,2,-1,-1,-1,4,-1,-1,-1,2,-1,-1,-1,2
10,-1,3,11,43,1,5,1,3,3,2,2,2,2,-1,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1
11,-1,3,9,37,2,1,1,4,2,1,1,2,1,4,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
12,-1,1,18,55,1,1,1,2,2,5,3,5,2,2,-1,-1,-1,2,-1,-1,-1,4,-1,-1,-1,3
13,-1,1,1,30,2,6,2,4,2,4,4,4,4,2,-1,-1,-1,2,-1,-1,-1,2,-1,-1,-1,2
14,-1,4,21,38,1,1,1,3,5,2,1,1,3,-1,-1,-1,2,-1,-1,-1,1,-1,-1,-1,3,3
15,-1,2,3,41,2,4,3,2,3,2,2,2,5,-1,-1,2,-1,-1,1,-1,-1,-1,1,-1,-1,2
16,-1,3,7,66,1,1,3,2,3,3,3,4,3,-1,3,-1,-1,-1,-1,3,-1,-1,-1,3,-1,1
17,-1,1,22,54,1,1,3,3,4,3,3,3,5,3,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,4
18,-1,1,20,55,1,1,1,2,4,2,2,2,5,2,-1,-1,-1,3,-1,-1,-1,3,-1,-1,-1,2
19,-1,1,-9,62,2,1,1,3,4,4,4,4,3,3,-1,-1,-1,5,-1,-1,-1,4,-1,-1,-1,2
20,-1,1,5,80,2,3,1,3,2,3,3,3,5,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1,-1,1
